areas,name,id,type,class,hot,address,feature,Pos
辽宁·大连·中山区,老虎滩海洋公园,1634040916,场馆,5A景区,热度 0.9,辽宁省大连市中山区滨海中路9号,一揽湾区山海，遍赏极地海洋,"121.682278,38.88534"
广东·广州·广州长隆旅游度假区,长隆国际大马戏剧院,3397249921,场馆,,热度 0.0,广东省广州市番禺区迎宾路长隆欢乐世界东门侧,汇粹全球马戏精华,"113.339108,23.00889"
海南·三亚·河东区,三亚千古情景区,2771384953,场馆,,热度 0.0,海南省三亚市河东区三亚海南省三亚市荔枝沟宋城三亚千古情景区,给我一个小时，带你穿越千年,"109.536751,18.296306"
广东·深圳·欢乐海岸,深圳深蓝秘境欢乐水秀,2921118359,场馆,,热度 0.0,广东省深圳市南山区白石路东8号欢乐海岸水秀剧场,风光秀美的心湖之畔，给你视觉的震撼,"113.997522,22.528722"
广东·珠海,珠海大剧院（日月贝歌剧院）,2599121303,场馆,,热度 0.0,广东省珠海市情侣路野狸岛海滨,在贝壳中跳跃的音符,"113.595849,22.286969"
江西·宜春·袁州区,明月千古情,4075497054,场馆,,热度 0.0,江西省宜春市温汤镇千古情大道,明月千古情景区位于江西宜春明月山温泉风景名胜区，这里凝聚了月亮文化、红色文化、禅宗文化、青瓷文化、温泉文化。上万平方米全,"114.291853,27.68778"
广西·南宁,南宁融晟极地海洋世界,2543759806,场馆,,热度 0.0,南宁市一环线沙井融晟天河·海悦城,感受海洋，科技带来的乐趣,"108.258462,22.794496"
甘肃·酒泉,又见敦煌,516108422,场馆,,热度 0.0,甘肃省敦煌市莫高窟数字展示中心西侧又见敦煌剧院,带您穿梭重顾千年前的历史故事,"94.776135,40.167636"
江苏·常州·金坛市,华夏宝盛园,670050093,场馆,,热度 0.0,江苏省常州市金坛市薛埠镇茅山风景区内（X206附近）,园林艺术文化与现代旅游休闲文化的有机结合,"119.336893,31.816171"
湖南·长沙·芙蓉区,琴岛演艺中心,3998561706,场馆,,热度 0.0,湖南省长沙市芙蓉区中山路249号（原红色剧院）,湖湘名片，琴岛模式引领中国演艺文化潮流,"112.984595,28.205736"
陕西·西安·临潼区,兵马俑《秦俑情》,2935772428,场馆,,热度 0.0,陕西省西安市临潼区秦俑路1号陕西秦皇大剧院,大型文化演艺体验项目,"109.291983,34.389305"
北京·北京·西城区,梨园剧场,3081856314,场馆,,热度 0.0,北京市西城区永安路175号前门建国饭店1楼(虎坊桥南侧),京剧艺术的殿堂，品味国粹魅力,"116.392256,39.892903"
陕西·汉中,出师表,3465322562,场馆,,热度 0.0,陕西省汉中市勉县城西一零八国道边诸葛古镇景区内锦冠剧场,讲述了诸葛亮在汉中地区发生的传奇故事,"106.642868,33.154897"
湖南·长沙·芙蓉区,笑工场,3406770166,场馆,,热度 0.0,湖南省长沙市芙蓉区坡子街（湘江剧院，火宫殿对面）,曲艺的精神乐园,"112.97998,28.19572"
山东·泰安·岱岳区,泰安刘老根大舞台,956210159,场馆,,热度 0.0,山东省泰安市岱岳区岱岳区泰山大街西段新天街文化广场（泰安高铁汽车站北500米）,为老百姓传递快乐和正能量,"117.044204,36.179636"
广东·珠海·海泉湾度假城,海泉湾梦幻剧场,1958252615,场馆,,热度 0.0,广东省珠海市金湾区平沙镇海泉湾度假城内,绝妙的灯光音响给你留下震撼难忘的经典回忆,"113.123939,22.071551"
新疆·乌鲁木齐·天山区,国际大巴扎歌舞大剧院,1615033987,场馆,,热度 0.0,新疆乌鲁木齐市天山区南端二道桥商业圈,浓郁西域民族特色和地域文化,"87.624599,43.785808"
云南·昆明·五华区,云南艺术剧院,3632258,场馆,,热度 0.0,云南省昆明市东风西路132号,云南省与国内外艺术交流的主要场所,"102.710051,25.045652"
安徽·黄山·屯溪区,《徽韵》演出·香茗大剧院,1097441789,场馆,,热度 0.0,安徽省黄山市屯溪区西海路31号,一台多姿多彩、美轮美奂的旅游文化大餐,"118.295818,29.712167"
湖南·长沙·天心区,田汉大剧院,2942265416,场馆,,热度 0.0,湖南省长沙市劳动西路347号田汉大剧院,星城长沙娱乐文化的箭头标志之一,"112.990324,28.179183"
黑龙江·哈尔滨·南岗区,哈尔滨刘老根大舞台,4794785,场馆,,热度 0.0,黑龙江省哈尔滨市南岗区中山路248号,刘老根大舞台的特色是二人转表演,"126.659961,45.755537"
海南·三亚·三亚亚特兰蒂斯度假区,三亚亚特兰蒂斯C秀,3460283728,场馆,,热度 0.0,海南省三亚市海棠区海棠北路36号亚特兰蒂斯海豚湾剧场,来亚特兰蒂斯看一场全家都爱的演出,"109.74786,18.36045"
海南·三亚,三亚红色娘子军演艺公园,3486710947,场馆,,热度 0.0,海南省三亚市天涯区槟榔村农场东北400米,感受红色娘子军寻找光明与信念的故事,"109.490639,18.340507"
辽宁·沈阳·和平区,东北情二人转剧场,1169000239,场馆,,热度 0.0,辽宁省沈阳市和平区民主路72号,秧歌打底，莲花落镶边,"123.405474,41.794006"
武里府·芭堤雅,阿克萨人妖秀（Alcazar Cabaret Show）,2911929469,场馆,,热度 0.0,"78/14 Pattaya 2nd Road Muang Pattaya, Amphoe Bang Lamung, Chang Wat Chon Buri 20150泰国",泰国著名人妖秀场，夜晚灯火映照更显气派,"100.916977,13.132979"
海南·三亚,海上丝绸之路大剧场,2692657127,场馆,,热度 0.0,海南省三亚市吉阳区荔枝沟师部农场（海润路延长线-海上丝绸之路）,水陆空完美结合，重金打造的水上大舞台,"109.51155,18.314176"
浙江·嘉兴·桐乡市,乌镇大剧院,104351985,场馆,,热度 0.0,浙江嘉兴桐乡市乌镇镇西栅景区,以“并蒂莲”为建造理念，寓意吉祥和喜庆,"120.495691,30.756114"
海南·三亚·吉阳区,拉斯维加斯表演秀,3768283476,场馆,,热度 0.0,海南省三亚市吉阳区荔枝沟师部农场（海润路延长线-海上丝绸之路）,美轮美奂、震撼心灵的大型表演秀,"109.511625,18.314062"
黑龙江·哈尔滨·松北区,哈尔滨大剧院,3753428599,场馆,,热度 0.0,哈尔滨市松北区文化中心岛内,哈尔滨标志性建筑,"126.59021,45.814898"
广西·桂林·阳朔县,三千漓山水人文度假区,2836489179,场馆,,热度 0.0,广西壮族自治区桂林市阳朔县兴坪镇凤凰路1号,满足你观光+度假的全域旅游需求,"110.546252,24.926318"
福建·厦门·思明区,星空魔幻城,700751104,场馆,,热度 0.0,厦门市思明区演武西路182号厦门世茂EMALL 3楼L311,厦门星空魔幻城里面的游玩主题有近百个之多。无限星空、雨屋2.0，镜花宫、钻石隧道等，还有时下颇流行的INS风展览。,"118.09472,24.442614"
迪拜,La Perle水舞秀,3923839880,场馆,,热度 0.0,260 Sheikh Zayed Road - Dubai - 阿拉伯联合酋长国,AlHabtoor City的永久剧场,"55.2641824,25.1860201"
北京·北京·西城区,什刹海剧场,2705864427,场馆,,热度 0.0,北京市西城区地安门西大街57号,北京市中心的一流剧场,"116.40290968895,39.946206844195"
北京·北京·西城区,德云社相声大会广德楼店,3630726808,场馆,,热度 0.0,北京市西城区前门大栅栏大街39号,赏德云社爆笑演出，High翻全场乐不停,"116.398268,39.900822"
海南·三亚,美丽之冠文化会展中心,4070039712,场馆,,热度 0.7,海南省三亚市新风街299号,夜景足以让人沉醉，表演尽能让人回味,"109.525972,18.26048"
北京·北京·朝阳区,中国木偶剧院,559039349,场馆,,热度 0.0,北京市朝阳区安华西里甲一号,可爱的木偶带给你优美的歌声，欢快的舞蹈,"116.407568,39.97437"
福建·福州·连江县,贵安国际大剧院,3574383675,场馆,4A景区,热度 0.0,福建省福州市连江县国家AAAA 级旅游景区贵安新天地旅游休闲度假区,海西版鸟巢来啦，别样的视听体验”,"119.413128,26.250164"
贵州·贵阳·南明区,贵州多彩城1958创意产业园,3590351256,场馆,,热度 0.0,贵州省贵阳市南明区龙洞堡老里坡1号多彩贵州城,一出极具时尚、极具韵味的文化饕餮盛宴,"106.79214,26.538619"
黑龙江·哈尔滨·松北区,哈尔滨莫斯科大剧院,1409605748,场馆,,热度 0.0,黑龙江省哈尔滨市南岗区东大直街350号（哈尔滨电影院三层）,体会百年欧陆文化的绚丽风采,"126.651417,45.76434"
北京·北京·海淀区,圆明园皇家皮影戏苑,1417309166,场馆,,热度 0.0,北京市海淀区清华西路28号,中华之国粹，民族之瑰宝,"116.32089,40.006287"
北京·北京·海淀区,海淀剧院,152940414,场馆,,热度 0.0,北京市海淀区中关村大街28号,海淀文化演艺中心,"116.324912,39.982525"
广东·广州·天河区,广州大剧院,2983803717,场馆,,热度 0.0,广东广州市天河区珠江新城珠江西路1号,七大标志性建筑之一,"113.328124,23.12078"
黑龙江·哈尔滨·东北虎林园,黑龙江虎林园国际马戏城,1283980573,场馆,,热度 0.0,黑龙江省哈尔滨市松北区松北大区88号,是观东北虎、赏特色马戏的重要场所,"126.605376,45.82487"
湖北·十堰·丹江口市,太极剧场《梦幻武当》,1298746223,场馆,,热度 0.0,湖北省十堰市丹江口市,为天地立心，为生民立命,"111.080129,32.541937"
浙江·宁波·奉化市,宁波民国大杂院,2407042994,场馆,,热度 0.0,浙江省宁波奉化市溪口镇镇南路265号,一镇凝聚蒋氏史，独院浓缩民国情,"121.288722,29.685657"
陕西·西安·碑林区,陕西歌舞大剧院,1674146874,场馆,,热度 0.0,陕西省西安市文艺路161号,陕味文化的聚集地,"108.960689,34.255206"
河北·保定·涞源县,白石山大剧院,1211862769,场馆,,热度 0.0,河北省保定市涞源县高速（涞源白石山）（涞源南）出口南行5公里,风景独特，建筑别致,"114.663017,39.287798"
上海·上海·浦东新区,上海东方艺术中心,4051431114,场馆,,热度 0.0,上海市浦东新区丁香路425号,光与影的场景，享受艺术的盛宴,"121.548391,31.229739"
湖南·长沙·雨花区,长沙港岛演艺中心,123113547,场馆,,热度 0.0,湖南省长沙市雨花区港岛路169号港岛酒店内,为您带来非同一般的异域风情及时尚娱乐,"113.016883,28.189222"
普吉岛,普吉暹罗梦幻剧场,2479549373,场馆,,热度 0.0,"55/81 Moo 5, Chalermprakiet Road | Rassada, Phuket Town, Phuket 83000, Thailand",一场极具真实感，刺激与激动人心的演出,"98.3754521,7.932051"
江西·南昌·东湖区,南昌宝丽大剧院,4126752687,场馆,,热度 0.0,江西省南昌市东湖区福州路161号,歌舞技艺高超，华美的舞台设计,"115.917583,28.689645"
北京·北京·东城区,红剧场,1548318594,场馆,,热度 0.0,北京市东城区（原崇文区）幸福大街44号,老天桥文化,"116.43925,39.891803"
浙江·金华·义乌市,义乌金海岸都市剧院,2492223792,场馆,,热度 0.0,浙江省金华市义乌车站路一号义乌剧院,各种演出的大型剧院,"120.081347,29.317637"
辽宁·沈阳·皇姑区,盛京红磨坊,1155896209,场馆,,热度 0.0,辽宁沈阳皇姑区鸭绿江街10号,盛京文艺新风尚,"123.463122,41.843189"
浙江·温州·鹿城区,温州大剧院,2102755352,场馆,,热度 0.0,浙江省温州市鹿城区世纪广场东首温州大剧院(近府东路),似鲤鱼、又似风琴、宛若贝壳的大剧院,"120.709237,27.996826"
上海·上海·静安区,小伙伴剧场,1917136393,场馆,,热度 0.0,上海市静安区延安西路64号中福会少年宫新大楼4楼,周末玩耍好去处，你就是小明星,"121.450124,31.228117"
辽宁·沈阳·沈河区,沈阳刘老根大舞台,1466995838,场馆,,热度 0.0,辽宁沈阳市沈河区正阳街110号,大名鼎鼎的赵本山和他的徒弟们表演的舞台,"123.46019,41.806044"
宁夏·银川·金凤区,银川剧院,156731401,场馆,,热度 0.0,宁夏银川市金凤区正源北街建发大阅城,独具特色的文化商业综合体,"106.261929,38.517539"
湖北·武汉·江岸区,都市茶座曲艺剧场,2664875752,场馆,,热度 0.0,湖北省武汉市江岸区胜利街157号武汉说唱团,静心体会家庭之美，不胜乐乎,"114.30462,30.593102"
陕西·西安·莲湖区,王木犊剧场,3237763442,场馆,,热度 0.0,陕西省西安市莲湖区南二环西段393号,寓教于乐，反俗倡雅,"108.905098,34.250627"
四川·阿坝藏族羌族自治州·九寨沟县,九寨沟藏谜大剧院,2994315740,场馆,,热度 0.0,四川省阿坝九寨沟县301省道漳扎镇,是一部史诗般的舞台剧巨作,"103.884859,33.293532"
浙江·杭州·下城区,红磨房演艺大舞台,3898174758,场馆,,热度 0.0,浙江省杭州市下城区武林广场29号杭州剧院三楼红磨房大舞台,演出通俗不低俗，每晚九点尽享激情与欢乐,"120.168482,30.277132"
贵州·贵阳·南明区,钟幺爷开心剧场,1475485816,场馆,,热度 0.0,贵州省贵阳市南明区次南门中创大厦12楼,在独具特色的喜剧剧场感受别样的贵州喜剧,"106.710875,26.579591"
黑龙江·大庆,大雁戏楼,226149173,场馆,,热度 0.0,黑龙江省大庆市萨尔图区晚报大街48号（联谊大厦2楼）,大庆文化名片之一,"125.120404,46.594251"
云南·西双版纳·景洪市,西双版纳勐泐大剧场,3325871456,场馆,,热度 0.0,云南西双版纳景洪市泰国街勐泐大剧场,拥有来自世界各地的红艺,"100.816896,22.004153"
北京·北京·东城区,中央戏剧学院实验剧场（原逸夫剧场）,854126957,场馆,,热度 0.0,北京市东城区东棉花胡同39号,教学实习演出场馆,"116.41614122646,39.948377367078"
福建·厦门·思明区,厦门人民剧场,905640723,场馆,,热度 0.0,福建省厦门市思明区中山路217号人民剧场,这里的表演非常精彩,"118.08843,24.460624"
福建·福州·晋安区,泰禾剧场,2462366584,场馆,,热度 0.0,福建省福州市晋安区东二环泰禾广场购物中心（东区）泰禾剧场,高端专业秀场,"119.34143,26.096766"
辽宁·营口·鲅鱼圈区,金泰城欢腾秀大马戏,3853479838,场馆,,热度 0.0,辽宁省营口市鲅鱼圈山海广场金泰城海岸线售楼处西侧,欢乐的现场气氛和超乎想象的视听享受,"122.116477,40.234452"
浙江·杭州·上城区,东坡大剧院,2231849269,场馆,,热度 0.0,浙江省杭州市上城区东坡路10号,"剧院外型美观大方,配备全套进口音响设施","120.169733,30.2591"
广东·河源·源城区,桃花水母大剧院,2153666528,场馆,,热度 0.0,广东省河源市源城区越王大道139号,欣赏各类演出、陶冶情操的艺术殿堂,"114.7238,23.77813"
新疆·乌鲁木齐,520演艺大舞台,2217311781,场馆,,热度 0.0,新疆省乌鲁木齐市克拉玛依东路9号中国城大厦8楼,各类演艺形式大荟萃,"87.597577,43.831644"
河北·承德·宽城县,承德满秀大型光影实景演出,450016412,场馆,,热度 0.0,河北省承德市宽城满族自治县化皮溜子乡马架沟村花溪城水上乐园旁,再现原始时代的战场风云、沧桑巨变,"118.433687,40.61856"
广东·深圳·南山区,南山文体中心剧院,3956667379,场馆,,热度 0.0,广东深圳市南山区南山大道与南头街交汇处,是为广大人民群众服务的文化和体育活动场所,"113.930958,22.541494"
浙江·杭州·东坡大剧院,金海岸东坡大舞台,760063192,场馆,,热度 0.0,浙江省杭州市上城区东坡路10号,“新”、“奇”、“特”,"120.169673,30.259244"
山东·泰安·泰山区,泰安泰山大剧院,3075306352,场馆,,热度 0.0,山东泰安泰山区东岳大街易初莲花南100米泰安文化艺术中心,是承接第十届中国艺术节的重要场馆之一,"117.093236,36.197462"
四川·凉山州·西昌市,索玛焰火盆自助烧烤演艺中心,4004884547,场馆,,热度 0.0,四川省凉山彝族自治州西昌市宁远大道辅路索玛焰火盆烧烤中心,一场以彝族特色文化为主的表演,"102.222182,27.901938"
陕西·咸阳·兴平市,宏兴大剧院,436230504,场馆,,热度 0.0,陕西省咸阳市兴平段家村(段家小学南行200米),表演场场爆棚，掌声雷动,"108.622344,34.272977"
天津·天津·河西区,天津大礼堂,3358950404,场馆,,热度 0.0,天津市河西区友谊路24号,国际国内大型会议及音乐会的举办场所,"117.21720375326,39.098705117008"
天津·天津·滨海新区,泰达图书馆五楼报告厅,401806083,场馆,,热度 0.0,天津经济技术开发区宏达街21号,多种演出活动举办场所,"117.72269774448,39.039948704422"
云南·大理·大理古城,大理黎家剧院,3738736905,场馆,,热度 0.0,云南省大理市大理古城人民路340号,,"100.170377,25.69349"
天津·天津·河北区,曹禺剧场,2811856399,场馆,,热度 0.0,天津市河北区民主道25号,曹禺话剧作品的表演场所,"117.21432799483,39.148344367956"
北京·北京·中国国家大剧院,歌剧院,730298972,场馆,,热度 0.0,北京市西城区西长安街2号,建筑宏伟，华丽辉煌，内部设施完备,"116.396089,39.912954"
天津·天津·河西区,天津中华剧院,2405986609,场馆,,热度 0.0,天津市河西区平江道与隆昌路交口,国内迄今少有的以上演京剧为主的剧场,"117.23003625532,39.096639909201"
上海·上海·静安区,音乐剧《上海滩》,773555922,场馆,,热度 0.0,上海静安区北京西路1700号,国内外游客在任何地方都能享受到高质量演出,"121.449588,31.232471"
加利福尼亚州·洛杉矶,杜比剧院,2813942913,场馆,,热度 1.0,"6801 Hollywood Boulevard #180 Hollywood, CA 90028",奥斯卡颁奖礼举办地，每年2月这里明星云集,"-118.340414578516,34.1026894294304"
新疆·乌鲁木齐·天山区,二道桥大剧院,1452913313,场馆,,热度 0.0,新疆乌鲁木齐市天山区解放南路37号国际大巴扎对面,精彩的民族歌舞表演，重现古丝绸之路,"87.621433,43.787614"
江苏·徐州·泉山区,汉纳国际演艺中心,3902331142,场馆,,热度 0.0,江苏省徐州市泉山区淮海西路211号,演员与影像互动演出,"117.174121,34.268819"
西藏·拉萨·城关区,金马歌舞演艺,3180427996,场馆,,热度 0.0,西藏拉萨市五岔路口东行200米进入纳金西路（噶吉林酒店对面）,宣传西藏悠久历史和灿烂文化的重要组成部分,"91.148987,29.663485"
北京·北京·西城区,A33剧场,463459237,场馆,,热度 0.0,北京市西城区车公庄大街4号新华1949园区20栋A33剧场（地铁2号线或6号线车公庄站H口出，官园批发市场西侧）,超文艺剧场,"116.36393870542,39.942342692611"
四川·成都·青羊区,成都大中华国际演艺中心,2429877300,场馆,,热度 0.0,人民中路一段15号,精彩的演出，3D舞台，欧洲风情舞团驻场,"104.072996,30.671285"
四川·成都,东郊记忆荷苗小剧场成华小礼堂店,1820850347,场馆,,热度 0.0,四川省成都市东郊记忆中央大道23号荷苗小剧场成华小礼堂店（近南大门）,生动形象的展现给我们以美丽的视听享受,"104.128891,30.674297"
四川·阿坝藏族羌族自治州·九寨沟县,九寨沟香格里拉演艺宫,1192048488,场馆,,热度 0.0,四川省九寨沟县漳扎镇星宇国际大酒店,是九寨沟一颗璀璨的绿宝石,"103.943966,33.285361"
青海·西宁,青海西部情演艺,1704508461,场馆,,热度 0.0,青海s省西宁市西门体育馆,歌舞、杂技、音乐剧、相声、歌曲应有尽有,"101.778497,36.625865"
河北·廊坊·广阳区,廊坊文化艺术中心,1704269817,场馆,4A景区,热度 0.7,河北省廊坊市和平路与北凤道交口,中心表达自然、艺术、戏剧和文学四个主题,"116.72548432122,39.557228601279"
上海·上海·杨浦区,珍得巧克力剧院,3121491406,场馆,,热度 0.0,上海市杨浦区杨树浦路2866号上海国际时尚中心9号楼,陶醉于巧克力的世界，品尝香醇的巧克力,"121.56389,31.277835"
上海·上海·静安区,上戏剧院,1902731851,场馆,,热度 0.0,上海市静安区华山路630号上海戏剧学院内(近镇宁路),上海戏剧学院位于幽静的华山路上。剧院舞台为镜框式结构，高7米、宽12米、深36米。台前乐池可升降，配有宽敞的左右副台。剧,"121.446381,31.223006"
天津·天津·河西区,天津滨湖剧院,3237352062,场馆,,热度 0.0,天津市河西区环湖中路6号,国家重点院团,"117.19848424002,39.096231250947"
纽约州·纽约·百老汇大街,百老汇剧院,3356519781,场馆,,热度 0.0,"1681 Broadway, New York, NY",来纽约怎么可以错过百老汇歌剧,"-73.8583807802001,41.1115473070294"
北京·北京·朝阳区,乐活卉安贞剧场,879252718,场馆,,热度 0.0,北京市朝阳区安定路甲24号地铁10号线安贞门地铁站C口对面,四九城里的相声新兵,"116.42104218112,39.989398013033"
山东·青岛·市南区,青岛人民会堂,2085763241,场馆,,热度 0.0,山东青岛市南区太平路9号,青岛市人民会堂位于青岛市太平路9号，于1959年5月动工兴建，1960年5月30日正式完工。占地1.8万平方米，建筑面积,"120.336907,36.066754"
广东·深圳·龙岗区,龙岗文化中心,1814339713,场馆,,热度 0.0,广东深圳龙岗区龙翔大道8038号,龙岗文体中心正式更名龙岗文化中心,"114.256789,22.725894"
浙江·杭州·下城区,魔方亲子剧院,3338808036,场馆,,热度 0.0,浙江省杭州市下城区武林广场29号杭州剧院三楼魔方剧院,亲子动漫舞台剧,"120.168345,30.276858"
北京·北京·西城区,西直门剧场,502603566,场馆,,热度 0.0,北京市西城区西直门外大街141号,80后的相声团体，给你时代感和喜剧感,"116.34875712381,39.949812397856"
天津·天津·河北区,天津13CLUB,3591748804,场馆,,热度 0.0,天津市河北区自由道58号（与胜利路交口，北安桥意大利风情街）,以摇滚、民谣为主的LIVE HOUSE,"117.21016842355,39.146846230935"
北京·北京·东城区,天地剧场,1985248354,场馆,,热度 0.0,北京市东城区东直门南大街10号天地剧场,杂技还是要现场看才给力,"116.441254,39.942265"
北京·北京·东城区,东方剧院,2517695109,场馆,,热度 0.0,北京市东城区朝阳门北大街11号,演出的理想场地,"116.44645052587,39.942166649956"
河南·郑州·金水区,西部酒城（大石桥店）,4133340795,场馆,,热度 0.0,河南省郑州市二七区大石桥铭功路130号,综合娱乐文化演艺舞台,"113.664957,34.769617"
陕西·渭南·临渭区,渭曲社,149703363,场馆,,热度 0.0,陕西省渭南市临渭区老街望月楼北邻三楼,说唱本土，讴歌东府,"109.523752,34.500543"
江苏·无锡·崇安区,无锡演艺剧院,2794264824,场馆,,热度 0.0,江苏省无锡市崇安区解放南路558号（老政协礼堂）,健康娱乐怡情益智的文艺天堂,"120.300826,31.576631"
天津·天津·河东区,天津第二工人文化宫剧场,2459965725,场馆,,热度 0.0,天津市河东区光华路2号,综合性园林式工人文化宫,"117.26381449668,39.114916119033"
北京·北京·西城区,繁星戏剧村,3364002672,场馆,,热度 0.0,北京市西城区宣武门内大街抄手胡同64号,话剧演出小剧场,"116.380303,39.906849"
河南·郑州·金水区,新德亿演艺中心,3879606826,场馆,,热度 0.0,河南省郑州市金水区金水路与玉凤路交叉口向东200米路南（郑州地铁1号线民航路站F3出口）,歌剧院场面宏大，气势非凡,"113.714896,34.7613"
天津·天津·西青区,意合堂会,4009352995,场馆,,热度 0.0,天津市西青区杨柳青巨龙古玩城如意大街66号院（关帝庙对过）,京剧、相声、小品、民乐、杂技、魔术,"117.01643,39.140955"
浙江·舟山·普陀区,普陀大剧院,4237240260,场馆,,热度 0.0,浙江省舟山市普陀区海洲路669号,让真正爱艺术的观众享受音乐盛宴,"122.333134,29.975907"
四川·阿坝藏族羌族自治州,四季九寨大剧院,650989160,场馆,,热度 0.0,四川省阿坝州九寨沟喜来登大酒店内,独具魅力的民族文化底蕴，令人大饱眼福,"103.937564,33.283836"
宁夏·银川·金凤区,宁夏大剧院,3105066797,场馆,,热度 0.0,宁夏省银川市金凤区人民广场东侧,规模大、功能齐全、设施先进大型剧院建筑,"106.244559,38.490973"
广东·汕头·龙湖区,汕头林百欣会展中心,2671217591,场馆,,热度 0.0,广东汕头龙湖区长平路96号,位于汕头城市中心的黄金地带,"116.72624,23.366444"
天津·天津·南开区,天津智慧山艺术中心飞鸟剧场,10267310,场馆,,热度 0.0,天津市南开区华苑开华道20号,小剧场话剧,"117.13486988221,39.10672180328"
北京·北京·朝阳区,北京国都大剧院,3809507966,场馆,,热度 0.0,北京市朝阳区华威南路27号陕西大厦2层（国都大剧院）,大型综艺文化舞台,"116.46486,39.877643"
山西·太原·迎泽区,太原工人文化宫,1216040744,场馆,,热度 0.0,山西太原市迎泽大街248号,太原工人文化宫，简称南宫，一九五八年建宫，现占地面积6万平方米，建筑面积3万平方米。南宫竣工于1958年2月15日，由山,"112.56302,37.864342"
